Analyte ID	Analyte Name	State Code	PWSID	System Name	System Type	Retail Population Served	Adjusted Total Population Served	Source Water Type	Water Facility ID	Water Facility Type	Sampling Point ID	Sampling Point Type	Source Type Code	Sample Type Code	Laboratory Assigned ID	Six Year ID	Sample ID	Sample Collection Date	Detection Limit Value	Detection Limit Unit	Detection Limit Code	Detect	Value	Unit	Presence Indicator Code	Residual Field Free Chlorine mg/L	Residual Field Total Chlorine mg/L
1094	ASBESTOS	CA	CA5710006	CITY OF WOODLAND	C	56464	56464	GW	592464	WL	634122		RW			30611161		2006-09-21 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5710006	CITY OF WOODLAND	C	56464	56464	GW	592465	WL	634123		RW			34994710		2007-09-20 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5710006	CITY OF WOODLAND	C	56464	56464	GW	592466	WL	634124		RW			36033788		2006-09-21 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5710006	CITY OF WOODLAND	C	56464	56464	GW	592466	WL	634124		RW			36086802		2007-09-20 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5710006	CITY OF WOODLAND	C	56464	56464	GW	592467	WL	634125		RW			29624407		2009-09-03 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5710006	CITY OF WOODLAND	C	56464	56464	GW	592471	WL	634129		RW			36050369		2009-09-03 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5710006	CITY OF WOODLAND	C	56464	56464	GW	592472	WL	634130		RW			36086601		2007-09-20 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5710006	CITY OF WOODLAND	C	56464	56464	GW	592473	WL	634131		RW			30653897		2007-09-20 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5710006	CITY OF WOODLAND	C	56464	56464	GW	592477	WL	634135		RW			31660088		2007-09-20 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5710006	CITY OF WOODLAND	C	56464	56464	GW	592478	WL	634136		RW			29542985		2006-09-21 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5710006	CITY OF WOODLAND	C	56464	56464	GW	592479	WL	634137		RW			30625050		2009-09-03 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5710006	CITY OF WOODLAND	C	56464	56464	GW	592482	WL	634140		RW			31670230		2006-09-21 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5710006	CITY OF WOODLAND	C	56464	56464	GW	592482	WL	634140		RW			31660072		2007-09-20 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5710006	CITY OF WOODLAND	C	56464	56464	GW	592484	WL	634142		RW			34994541		2007-06-21 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5710009	UC - DAVIS	C	40185	40185	GW	592518	WL	634176		RW			36432365		2008-12-02 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5710009	UC - DAVIS	C	40185	40185	GW	592525	WL	634183		RW			35317761		2008-12-02 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA3500817	LICO LABOR CAMP	C	25	25	GW	593244	WL	637888		RW			29485710		2009-02-19 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA3500910	DUNNEVILLE ESTATES CSA #50	C	120	120	GW	593268	WL	637912		RW			35498607		2009-07-22 00:00:00.000	0.200000000	MFL	MDL	1	0.198000000	MFL			
1094	ASBESTOS	CA	CA3510003	SUNNYSLOPE COUNTY WATER DIST	C	17165	17165	GW	593330	WL	637974		RW			30067471		2011-01-05 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA3610004	WEST VALLEY WATER DISTRICT	C	66655	66655	SW	594060	WL	638704		RW			29071174		2008-06-26 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA3610004	WEST VALLEY WATER DISTRICT	C	66655	66655	SW	594062	WL	638706		RW			36887929		2008-06-18 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA3610004	WEST VALLEY WATER DISTRICT	C	66655	66655	SW	594070	TP	638714		RW			28905019		2007-08-21 00:00:00.000	0.200000000	MFL	MDL	0					
